.net
2k
3anoppix
a/ux
abuledu
acados
ad
adamantix
adaos
adempiere
adios
admelix
admiral
adrenaline
aerolitheos
agile
agile
agiprod
agnula
aimos
aios
aix
aix/370
aix/esa
alcolix
alice
alinex
alinux
alixe
allegro
allianceos
alooma
amber
amoeba
amstrad
analyses
andlinux
android
android
aneeda
angelos
ankur
annvix
annyung
anonym.os
antarctica
antemium
antix
aos/vs
apache
aperios
apodio
apolloos
apostle
aps
aquamorph
arabian
archeos
archie
architecte
architecture
aros
artistx
artos
arudius
as400
asbestos
asianlinux
asianux
asork
astaro
asterisknow
athena
athene
atheos
atmission
atomix
atomsnet
atomthreads
augustux
aurora
auroraos
aurox
austrumi
autocad
autocad
autonomy
avanti
axial
babeldisc
backtrack
bada
bal
baltix
bayanihan
beia
belenix
beos
beowulf
bestlinux
bintoo
biobrew
bioknoppix
blackpanther
blag
blockchain
blueeyedos
bluej
bluelinux
bluewall
booksprint
bos
bos1810
boxos
bpmk
brillo
brix
bs2000
bs600
bsdi
btx
buffalo
bugnux
bugos
burapha
businessobjects
byzantineos
calmira
calypso
caos
carl.os
cassandra
catix
catix
ccux
cdh
cdlinux
cdos
cefarix
censornet
centos
chakra
chaos
chibios
chimera
choices
chorus
cisco
cl33n
clarkconnect
clearos
clicker32
clienux
cloud
clusterix
clusterknoppix
cobaltos
cobra
codinfo
cognos
coherent
college
comarch
compiere
concevoir
condorux
config
consensys
contiki
contracts
convexos
corebiz
coreboot
coreos
cortex3
counterpoise
coyote
cp/k
cp/m
cp/net
cp/z
cpf
cromix
cronus
crunchbang
cruncheee
crux
csoc
ctos
ctss
cx/sx
cygnus
danix
darkstar
darwin
datastage
dc/osx
dcp
debug
deli
delitalk
demos
denix
desktopbsd
deskwork
devil
dg/ux
diapason
dingos
divalto
dizinha
dk/dos
dnalinux
dnix
dogfooding
dolibarr
domo.
dos2
dosket
dragora
dreamlinux
dreamweaver
dr'ex
drops
dtos
dualix
ducen
dvix
dynabolic
dynamics 
dyne:bolic
dzongkha
eadem
eagle
easylinux
eclipse
ecompensation
ecomstation
ecos
edubuntu
eduknoppix
edulinux
eduos
egos
eisfair
ekkobsd
elate
elbuntu
elearnix
elinos
elive
elks
elx
elysium
embedix
emc
endian
engarde
ep/ix
eperformance
epoc
eprocurement
erams
erp5
erposs
esettlements
esupplier
esware
eumel
eunix
euronode
evinux
evolan
exopc
exos
expenses
express
ezinux
famelix
famos
faunos
fdos
feather
featherweight
fedora
fermi
fiasco
financials
finnix
fiubbix
fivetran
flamethrower
flashos
flexos
flightlinux
flingos
flonix
flux
fluxbuntu
fms
foresight
fork
formilux
forth
fortios
freduc
freebsd
freedos
freedows
freedows
freeduc
freenas
freepia
freesbie
freespire
freevms
freevolive
frenzy
frontpage
frugalware
ftosx
fuchsia
fullpliant
funatixos
fusionsphere
fxos
galliumos
gazos
gb&smith
gcos
gecos
geekos
geexbox
gelecek
genera
genieos
gentoo
gentoox
geolivre
george
gibraltar
ging
giotto
glassfish
glendix
gnewsense
gnix
gnoppix
gnulinex
gnustep
gnustep
goblinx
gobolinux
gooddata
gparted
grafpup
grants
grasshopper
greenfoot
greenplum
grml
guadalinex
guide
guix
h3knix
haansoft
hactar
hadoop.
haiku
hakin9
hancom
harmony
hedinux
helios
helix
helpdesk
heretix
hermes
hikarunix
hive
hiweed
honeywall
html 
hubworx
hurricane
hydrixos
hyperion
hyperion
i5/os
ibsys
ignalum
immunix
independence
indlinux
inferno
informatica
informix
insightsquared
integrer
interactif
inventory
ipcop
ipv4ll 
irmx
irts
itron
jamb
jaspersoft
javaos
jbed
jblinux
jenios
jeos
jibbed
jmp
jolicloud
jolinux
jtmos
julex
junos
juxlala
jxos
k12ltsp
kaboot
kaella
kalango
kanban
kanotix
kaos
karamad
kateos
katix
kerberos
keykos
kinneret
kmlinux
knopils
knoppel
knopperdisk
knoppix
knoppixmame
knoppmyth
knosciences
kodibuntu
kolibrios
komodo
kongoni
korora
kronos
kros
krud
krud
kubuntu
kurumin
kwort
kylin
kyriba
l.a.s.
l13plus
l4
lainos
ldos
leetnux
legos
lejos
lerntux
lfs
lg3d
librecmc
liis
linagora
linare
lindowsos
lineox
linespa
linnexos
linpus
linspire
linux4one
linuxconsole
linuxmce
linuxo
linuxone
linuxppc
linuxtle
litrix
livekiosk
livux
llgp
lliurex
loco
looker
lormalinux
lotus
ltsp
ltss
luc3m
luit
lunar
lutelinux
lxdebian
lynxos
m0n0wall
mach
macroscope
mageia
magic
mandrake
mandriva
mangaka
manos
maruti
masix
master
matelo
maxos
mayix
mcnlive
mdos
mediainlinux
meego
menuetos
mepis
merlin
micrium
microdos
microos
microsoft
microstrategy
microvms
midnightbsd
mikeos
minikazit
minima
minislack
minix
minux
miracle
miranda
miros
mits
mk++
mklinux
ml
mobius
moblin
mockup
modulos
molinux
momonga
mongodb
monitor
monoppix
moonos
mops
morphix
morphos
moscow
mosix
mostlylinux
movix
mpe/ix
mrt1700
msc
msos
mt809
mulimidix
mulinux
multics
multitenant
mungi
muriqui
murix
musix
mutagenix
mutos
muvinix
mvs
mylinux
mysql
mysql
nachos
nasgaia
nature's
necux
nemesis
neogia
neos
nepalinux
netbeans
netbsd
netezza
netsecl
netware
netwosix
newdeal
newdos
newos
nexenta
nexentaos
nextstep
nextworksos
nexus
niigata
nimblex
nimbus
nintendos
nitix
nonux
nos
nos/be
nos/ve
notes
nova
ns/gdos
nsk
nst
ntdios
nubuntu
nucleus
nuclinux
nuxone
oaesis
oasis
oberon
objex
ocnos
ocularis
odin
office
olap
omega
omoikane
oncore
opal
openaguila
openartist
openbeos
openbravo
openbsd
opendarwin
openerp
openlab
openlinux
openlx
openmamba
openmediavault
openna
openravenscar
openrefine
openserver
opensi
opensolaris
openvision
openvms
openwall
operator
oppcos
oralux
os/2
os/360
os/390
os/400
os/9
os/es
os/m
os4
oscan
ose
osf/1
osx
osx16
overclockix
ozone
p!tux
p6
pacbase 
paipix
pakos
paldo
panda
papl
parabola
parallelknoppix
paramecium
pardus
parixos
paros
parsix
partitioning
paulos
payroll
pc/os
pclinuxos
pdos
peace
pebble
pegasos
pelicanhpc
pentoo
peoplesoft
peoplesoft 
peopletools
peppermint
pequelin
petros
pfsense
phaeronix
phantomix
phlak
phos
pikeos
pilot
pingo
pingwinek
pios
pizzios
pl/sql
plamo
playstation
pld
plex86
pm_sz_os
poseidon
posted
powermax
poweros
powersx
powerux
pqui
privatix
prodos
progeny
proginov
prologue
proolix
proosek
proteanos
protech
prototypage
prototypage
psos
psosystem
psu
publicos
pud
puppy
purchasing
pure
puredyne
qdos
qilinux
qimo
qlik
qnx
qplus
quadros
quantian
query
quickview
radios
raidiator
rapidminer
rapidminer
raspbian
rational
rbasic
rcos
rcosjava
rdos
reactos
redhat
redox
repairlix
rewin
rexx/os
rhodos
riot
rmos
roadrunner
rock
rocket
rome
rome
root
rosa
roslims
rpath
rsts/e
rtel
rtems
rtlinux
rtmk
rtmx
rtx
rtxdos
rubix
rxdos
s.ha.r.k
sab
sabayon
sabily
sage
salesforce
salgix
salvare
sam
sanos
sas
sauver
saxenos
sci.linux
scope
scorchos
scottsnewos
scout
scp
scrudgeware
scrum
securepoint
seos
sequent
shark
sharpos
shawnos
shinux
sibo
siebel
silog
simplymepis
sinclair
sinix
sirh
skolelinux
skyos
slack/390
slackintosh
slackware
slamd64
slampp
slax
slikware
sls
slynux
smoothwall
smultita
snappix
snofrix
soa
sobs
softntic
solar_os
solaris
solaris 11
sonic
sorcerer
sp6800
sphinxos
spice
spice/mt
spin
spinix
splack
splashtop
spox
sprezzos
spring
squeak
ssp
stampede
starcos
startcom
std
stichdata
sting
storm.
stormix
stpi
streambox
streamos
stresslinux
stux
stx
subsump
sulix
sumo
sungard
sunmos
sunos
sunriseos
superdos
supergamer
supplychain
support
suse
svr
sybase
sybase
syllable
symbos
symobi
synapse
systemrescue
t2
tablix
tabos
tabos
taika
tails
talos
taos
taprobane
techlinux
teleservice
tenex
tester
thinstation
thix
threadx
thrillos
tibco
tilix
tinyos
tivoli
tizen
tnix
tomcat
tomsrtbt
tomukas
toophpix
topologilinux
topsy
tornado
torsion
tos
toutou
tpf
tpt
triangleos
trinity
tripos
trixbox
tron
troppix
trustix
trustverse
truva
tud:os
tumix
tunes
tunning
tupiserver
tuquito
turbodos
turbolinux
turkix
uberos
ubuntu
ubuntume
uclinux
udos
ulteo
ultima
ultrix
umds
umn
underground
uni/os
unicos
unicos/lc
unixware
unununium
uos
userlinux
usix
utilex
ututo
ux
uxp/v
vapour
versados
vertica
vidalinux
videolinux
vignon
vine
virtualbox
virtualisation
vision
visopsys
vlos
vm/esa
vm/vse
vnlinux
voltalinux
volumio
vrtx/8002
vrtx/os
vsos
vsta
vtos
vxworks
warlinux
wazobia
webcenter
weblogic
websphere
wega
whax
whitix
wienux
wildmagnolia
winmac
winslack
wizrd
wolvix
womp!
x/os
xandros
xaos
xarnoppix
xdos
xenix
xenoppix
xfld
xinu
xmach
xplenty
xpud
xrdj
xteam
xtreemos
xts
xubuntu
yamit
yaxic
yes
yoctix
yoper
yunos
z/os
zealos
zebuntu
zentyal
zenwalk
zephyr
zeroshell
zevenos
zmos
zonecd
zotos
.net
3d
accounting
compatibilita(c)
activemq
actuator
adaboost
adder
advertising
aeronautics
aerospike
airflow
airtable
ajax
akamai
akka
algolia
algorithm
algorithm
ambiguity
amphp
amplitude
analytics
android
angular
angularjs
angularui
ansible
api
api.ai
api.ai
apiary
apigee
apollo
appium
appveyor
arangodb
arbol
arboriculture
arborist
arduino
asana
asp.net
asp.net
aspnet
aspnet
atom
aurelia
auth0
authentication
authy
automaton
ava
awesome
amazon
aws
awx
azure
babel
backbone.js
backbone.js
bamboo
bash
bazel
beanstalk
beanstalkd
bibliometrics
biometrics
bitbucket
bitcoin
bitrise
blockchain
boot2docker
bootstrap
bootswatch
bot
bourbon
bower
box
brackets
braintree
brightness
broadcasting
browserify
browserstack
browsersync
brunch
buddy
buffer
buildkite
bulma
business
c
c3.js
c3.js
caddy
cakephp
capistrano
capybara
cassandra
cataloging
cdnjs
celery
centos
cepstrum
certificate
chartbeat
chatops
chef
chemometrics
chrome
circleci
circumscription
clef
cli
clicktale
clicky
clinicalkey
clion
clojure
clojurescript
cloudflare
cloudinary
clubhouse
cobol
codacy
codeanywhere
codebook
codec
codecov
codeigniter
codekit
codemirror
codenvy
codeship
coffeescript
collaboration
collision
colorimetry
commerce
communications
compass
compiler
component
compose
composer
comprehension
computability
computation
concourse
concurrency
conductor
confluence
consul
coreos
correctness
couchbase
couchdb
coveralls
cpp
crashlytics
crm
crowdsourcing
cryptocurrency
cryptography
crystal
csharp
css
cucumber
cypress
d3.js
d3.js
dart
dash
database
databases
datadog
datalog
dcos
dcos
deadlock
debian
debugging
decidability
deco
deploybot
deployment
design
devdocs
devise
devops
diagram
digitalocean
disqus
django
dnsimple
docker
documentation
dokku
dotnet
dotnet
drone.io
drone.io
dropbox
dropwizard
druid
drupal
durability
dyn
echo
eclipse
ecommerce
elasticsearch
electroencephalography
electron
elixir
elm
emacs
ember
ember.js
ember.js
emoji
emotion
emulator
encryption
engineering
enzyme
erlang
es6
eslint
espace
etcd
ethereum
ethernet
eureka
expressjs
expressjs
f
fabric
fastlane
fastly
feathersjs
fedora
ffmpeg
figma
filestack
finagle
finance
findability
fingerprint
firebase
firefox
flask
fluentd
flurry
flutter
flux
flyway
folksonomy
font
fortran
forums
fossa
framer
framework
framework7
frontend
fullstory
fusion
gatling
gatsby
gauges
gearman
geckoboard
geoparsing
geotagging
gist
git
gitbucket
github
gitkraken
gitlab
gluon
go.cd
go.cd
godaddy
gogs
google
gradle
grafana
grails
grape
graphite
graphql
groovy
growbag
grpc
grunt
gsm
gtp
gulp
gulp
gunicorn
guzzle
hadoop
haml
handlebars.js
handlebars.js
handover
hapi
haproxy
haskell
hasura
hazelcast
hbase
heap
helm
heroku
hexo
hibernate
highcharts
hipchat
histogram
hockeyapp
hogan.js
hogan.js
homebrew
homebridge
hotjar
html
html5
http
hubspot
hugo
hypercube
iframely
ifttt
imgix
immutable.js
immutable.js
impala
incapsula
indentation
inference
influxdb
infobox
inkwell
inspec
interaction
intercom
interconnection
internetworking
interpolation
invision
ionic
ios
ipfs
istio
jasmine
java
javascript
jekyll
jenkins
jest
jetty
jira
jitter
jquery
jruby
jsdoc
json
julia
julia
junit
jupyter
kafka
karma
keras
keycdn
kibana
kissmetrics
kitematic
knex.js
knex.js
knockoutjs
koa
koding
kong
kotlin
kubernetes
lambdatest
laravel
lastpass
latex
leaflet
lexico
libraries
library
linode
linux
liquibase
livereload
loader.io
loader.io
localization
locust
lodash
loggly
logrocket
logstash
lottie
lua
lucene
lumen
lxc
lxd
macos
magento
mailchimp
mailgun
mailjet
mandrill
mapbox
marathon
mariadb
marionette
markdown
marketing
mastodon
material
materialize
matlab
mattermost
maven
maxcdn
mean
medium
memcached
memcachier
mercurial
mesosphere
metabase
metadata
metamodeling
meteor
metis
microcomputer
microcontroller
microprocessor
middleman
middleware
mina
minecraft
minification
minio
mixpanel
mobile
mobx
mocha
mode
momentjs
monero
mongodb
mongoid
mongolab
mongoose
monitoring
multicast
multimedia
multiprocessing
multisearch
mustache
mvvmcross
mysql
namecheap
nativescript
nats
neo4j
neovim
netlify
netty
nexmo
next.js
next.js
nginx
ngrok
nightwatchjs
nim
nitrous.io
nitrous.io
node.js
node.js
nodejs
nodejs
nomad
nosql
notepad
npm
nsq
numpy
nuxt
octodns
omniauth
onesignal
opencv
opengl
openlayers
openresty
openshift
openstack
opensuse
optimizely
oracle
outlier
ovh
oxygene
p2p
packer
pandas
parcel
parse
parsing
parsing
passenger
paw
payments
paypal
perl
perl6
phabricator
phalcon
phantomjs
phaser
phonegap
photogrammetry
php
phpstorm
phpunit
pile
pingdom
piwik
pixel
play
plotly
polymer
portainer
pose
postcss
postgis
postgresql
postman
postmark
pouchdb
preact
prestashop
presto
prisma
prognostics
prolog
prometheus
prosthesis
protractor
publishing
pubnub
pug
puma
puppeteer
pusher
pushwoosh
pwa
pycharm
python
pytorch
qt
queue
qunit
r
rabbitmq
rails
raml
rancher
ranking
ratchet
rdf
reachability
react
reactiveui
readme.io
readme.io
realm
recurly
recursion
redash
redis
redmine
redux
redux.js
redux.js
relay
release
requirejs
residual
resque
rethinkdb
riak
riot
robot
rocket
rollbar
rotation
router
rspec
rubocop
ruby
rubymine
runscope
rust
